 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4,Area5,Mean5,Min5,Max5
17130,33152,17.100385666,11,28,5056,22.303796768,13,39,9856,22.798702240,13,86,16384,24.683593750,14,65,41664,27.133640289,14,62
17131,33152,17.081081390,12,26,5056,22.215188980,14,34,9856,22.954545975,14,88,16384,24.835937500,12,73,41664,27.112134933,13,59
17132,33152,17.117759705,12,29,5056,21.936708450,15,37,9856,22.467533112,13,80,16384,24.566406250,14,72,41664,27.192012787,13,58
17133,33152,17.015443802,12,28,5056,22.417720795,15,33,9856,22.811687469,14,82,16384,24.722656250,14,69,41664,26.815668106,14,53
17134,33152,17.027027130,11,29,5056,22.278480530,15,37,9856,22.668830872,14,81,16384,24.632812500,14,64,41664,27.281105042,14,63
17135,33152,16.969112396,12,28,5056,22.113924026,14,31,9856,22.259740829,14,89,16384,25.078125000,13,69,41664,27.104454041,12,59
17136,33152,16.988416672,12,26,5056,22.594936371,14,34,9856,22.863636017,13,79,16384,25.062500000,14,75,41664,27.167434692,15,54
17137,33152,16.994209290,12,30,5056,22.367088318,14,33,9856,23.077922821,14,81,16384,24.871093750,14,72,41664,27.133640289,14,58
17138,33152,17.086872101,11,27,5056,22.303796768,15,35,9856,22.772727966,14,83,16384,25.042968750,14,70,41664,27.364055634,15,61
17139,33152,17.073358536,12,28,5056,22.506328583,14,33,9856,22.233766556,12,79,16384,25.109375000,14,73,41664,27.161291122,13,64
17140,33152,17.084941864,11,29,5056,22.177215576,14,33,9856,22.454545975,14,83,16384,25.300781250,13,70,41664,27.403993607,14,66
17141,33152,17.133205414,12,29,5056,22.772151947,14,39,9856,22.779220581,13,81,16384,24.738281250,13,66,41664,27.033794403,13,60
