 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
66,228,123.394737,34,384,293,124.085327,57,339,293,128.484634,36,404,428,138.682236,40,401
67,228,121.793861,33,414,293,124.303757,49,314,293,128.365189,33,398,428,139.170563,40,378
68,228,121.565788,34,418,293,123.385666,51,337,293,127.805458,34,383,428,138.950928,36,435
69,228,121.464912,34,400,293,124.225258,50,328,293,128.443680,35,434,428,138.663559,45,400
70,228,122.381577,33,425,293,125.300339,54,326,293,127.679184,34,391,428,139.121490,41,389
71,228,122.421051,34,430,293,123.706482,48,317,293,127.334473,36,384,428,139.028030,41,387
72,228,122.276314,34,404,293,124.532425,38,296,293,127.883957,35,393,428,138.794388,45,384
73,228,121.377190,33,432,293,123.146759,48,341,293,126.863480,35,398,428,138.635513,41,376
74,228,121.675438,37,408,293,124.290100,52,347,293,127.474403,37,399,428,139.348129,36,380
75,228,123.614037,35,428,293,124.436859,50,318,293,127.017067,36,381,428,138.955612,44,400
76,228,121.000000,34,404,293,123.494881,51,360,293,127.856659,37,337,428,139.324768,45,402
77,228,122.109650,34,377,293,123.839592,46,346,293,127.559731,34,390,428,138.137848,42,387
78,228,123.333336,34,388,293,124.464165,45,352,293,126.535835,31,397,428,138.378510,44,405
79,228,123.824562,36,394,293,124.088737,48,349,293,127.416382,33,409,428,137.876175,32,373
80,228,122.517548,33,396,293,124.235497,49,360,293,126.293518,35,435,428,138.112152,37,368
81,228,124.254387,35,389,293,125.064850,44,328,293,126.798637,32,396,428,138.252335,43,397
82,228,122.074562,38,374,293,123.962456,50,347,293,127.911263,36,392,428,139.058411,42,384
83,228,120.578949,34,346,293,123.665527,49,352,293,126.450516,33,401,428,138.390182,37,380
84,228,122.293861,38,374,293,124.689423,51,337,293,125.416382,37,384,428,139.058411,41,398
85,228,120.526314,33,376,293,123.368599,48,351,293,124.634811,34,414,428,139.242996,43,383
86,228,120.100876,35,362,293,122.631401,51,336,293,126.556313,34,391,428,138.154205,44,384
87,228,121.530701,36,345,293,124.102386,55,315,293,126.215019,32,416,428,138.658875,36,379
88,228,121.701752,33,397,293,123.723549,45,307,293,125.522186,34,361,428,138.151871,45,390
89,228,122.013161,34,354,293,124.692833,55,400,293,125.761093,36,392,428,138.042053,46,389
90,228,120.083336,35,337,293,125.109215,48,328,293,126.000000,35,384,428,137.803741,42,388
91,228,121.776314,34,376,293,123.201363,52,339,293,125.795219,35,392,428,138.250000,42,367
92,228,122.872810,31,360,293,124.911263,53,350,293,125.750854,30,398,428,136.721970,42,367
93,228,121.122810,35,352,293,122.163826,46,314,293,126.795219,34,378,428,139.147202,43,398
94,228,122.600876,35,358,293,123.593857,54,331,293,125.911263,34,383,428,138.478973,39,406
95,228,121.973686,36,334,293,124.334473,53,345,293,126.563141,32,397,428,138.273361,42,404
96,228,122.644737,35,367,293,124.365189,47,323,293,127.061432,35,401,428,137.862152,39,406
97,228,122.017548,33,348,293,123.552902,49,320,293,126.177475,37,406,428,138.488312,41,366
98,228,122.631577,34,363,293,124.279861,53,333,293,125.709900,36,397,428,137.950928,46,382
99,228,123.057014,33,380,293,123.075089,47,325,293,125.692833,36,365,428,137.677567,47,384
100,228,124.421051,32,370,293,124.034126,47,333,293,126.716721,33,397,428,138.443924,43,373
101,228,123.021927,35,373,293,124.273041,51,328,293,126.163826,35,407,428,137.761688,44,381
102,228,122.495613,35,386,293,123.764503,52,326,293,126.706482,40,425,428,137.105133,40,362
103,228,123.359650,33,384,293,123.866898,54,330,293,125.279861,32,386,428,138.130844,43,374
104,228,123.938599,34,369,293,125.143341,54,348,293,125.129692,33,385,428,138.584106,39,376
105,228,122.912277,34,350,293,124.095566,43,333,293,126.136520,36,392,428,137.824768,38,371
106,228,122.793861,35,398,293,124.204781,47,336,293,126.491470,36,370,428,138.546722,45,363
107,228,123.578949,36,358,293,124.699661,54,334,293,125.716721,34,403,428,137.371490,39,401
108,228,124.592102,33,377,293,123.235497,49,328,293,127.068260,34,404,428,137.619156,44,387
109,228,125.013161,33,376,293,124.324234,56,329,293,126.672356,36,395,428,137.280380,42,375
110,228,123.872810,36,347,293,123.252563,44,340,293,126.921501,35,386,428,136.443924,40,383
111,228,124.907898,37,379,293,123.406143,52,340,293,127.133102,36,424,428,138.500000,40,419
112,228,124.640350,34,368,293,124.382256,44,337,293,126.689423,36,392,428,138.857483,41,384
113,228,126.355263,32,393,293,122.894196,52,328,293,125.815697,37,387,428,137.074768,41,368
114,228,126.429825,35,373,293,123.215019,50,323,293,126.604095,35,415,428,140.147202,43,400
115,228,124.570175,35,415,293,123.341293,54,329,293,127.191124,38,408,428,137.425232,36,394
116,228,124.921051,35,397,293,124.368599,53,359,293,126.187714,34,373,428,137.544388,42,402
117,228,124.942986,35,354,293,124.368599,52,350,293,125.290100,33,397,428,137.362152,41,379
118,228,124.517548,34,389,293,123.832764,51,317,293,126.409554,37,426,428,137.065414,38,370
119,228,125.833336,35,352,293,124.119453,48,334,293,124.986351,35,377,428,136.745331,41,364
