 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
209,32,109.812,70,143,225,138.551,55,304,208,118.370,61,347
210,32,109.531,66,143,225,138.467,53,317,208,119.168,63,345
211,32,111.375,80,168,225,138.129,57,312,208,119.043,57,356
212,32,108.500,75,165,225,137.160,49,316,208,120.115,59,337
213,32,109.344,73,152,225,137.453,53,335,208,119.635,62,349
214,32,110.188,74,148,225,138.453,67,339,208,118.928,57,337
215,32,112.344,82,168,225,136.147,60,297,208,119.337,56,343
216,32,108.688,80,158,225,137.676,52,316,208,120.726,58,314
217,32,109.312,74,152,225,136.671,62,313,208,119.260,61,336
218,32,112.344,79,147,225,135.978,59,316,208,117.716,64,309
219,32,110.281,79,151,225,137.542,59,329,208,118.923,61,315
220,32,109.562,71,159,225,136.440,65,329,208,117.822,59,288
221,32,111.281,88,160,225,137.116,58,302,208,118.024,57,264
222,32,108.656,80,138,225,136.716,55,320,208,117.803,58,265
223,32,110.469,77,165,225,135.942,58,309,208,117.038,59,224
224,32,110.938,73,148,225,135.738,53,318,208,116.240,65,221
225,32,110.250,81,154,225,136.120,55,321,208,117.380,56,215
226,32,107.812,77,149,225,135.529,60,316,208,116.029,58,208
227,32,110.719,78,153,225,135.836,57,335,208,116.697,59,239
228,32,109.531,77,153,225,135.569,53,320,208,115.168,56,226
229,32,114.344,81,154,225,136.244,61,309,208,116.745,61,234
230,32,109.250,74,156,225,136.289,61,315,208,116.534,61,232
231,32,108.719,73,143,225,135.787,59,335,208,117.163,67,222
232,32,110.156,86,147,225,135.969,55,329,208,115.404,60,245
233,32,113.812,84,148,225,136.587,57,316,208,114.904,58,220
234,32,111.219,75,152,225,135.178,61,310,208,115.048,57,213
235,32,106.656,72,143,225,136.907,58,345,208,115.231,56,224
236,32,112.062,77,151,225,136.267,54,304,208,116.303,57,223
237,32,111.375,77,163,225,136.902,58,289,208,116.447,60,217
238,32,109.031,73,173,225,137.840,56,338,208,116.154,68,218
239,32,111.750,72,161,225,135.880,53,323,208,117.034,59,257
240,32,110.281,78,166,225,135.809,58,330,208,116.620,62,212
241,32,110.781,77,159,225,135.791,60,312,208,115.928,55,221
242,32,109.375,74,160,225,136.680,57,295,208,116.159,59,220
243,32,109.156,79,145,225,136.609,60,304,208,116.952,61,220
244,32,107.562,68,158,225,137.222,60,324,208,116.337,60,224
245,32,113.219,72,157,225,135.476,58,345,208,117.308,57,219
246,32,109.531,74,168,225,135.493,59,310,208,116.688,62,219
247,32,110.875,76,153,225,136.773,57,326,208,116.442,64,224
248,32,109.969,75,167,225,135.720,53,300,208,116.495,58,224
249,32,112.125,76,174,225,137.160,56,331,208,116.558,56,213
250,32,109.844,73,166,225,135.849,58,317,208,116.096,58,217
251,32,110.219,74,178,225,135.191,57,316,208,117.683,68,241
252,32,113.812,79,177,225,136.560,59,330,208,116.832,56,228
253,32,111.469,70,167,225,135.196,59,322,208,117.255,64,224
254,32,113.625,74,157,225,138.062,54,328,208,120.755,57,231
255,32,112.781,78,157,225,143.209,58,351,208,126.731,57,241
256,32,113.156,76,153,225,143.702,60,355,208,126.846,66,234
257,32,111.500,76,157,225,141.467,56,348,208,126.264,65,224
258,32,111.625,81,157,225,141.293,60,336,208,124.034,62,236
259,32,111.938,80,146,225,139.520,60,340,208,123.938,60,230
260,32,109.125,79,161,225,139.427,57,328,208,121.846,58,219
261,32,109.969,75,150,225,138.129,57,349,208,121.712,66,228
262,32,110.375,68,165,225,137.893,52,330,208,121.332,59,225
263,32,111.125,77,166,225,136.396,56,311,208,120.481,67,229
264,32,113.156,77,171,225,137.267,62,320,208,119.553,62,239
265,32,111.594,83,167,225,136.404,52,320,208,119.505,55,234
266,32,109.594,80,150,225,136.413,54,334,208,119.918,59,224
267,32,113.000,81,197,225,135.880,58,320,208,119.010,63,230
268,32,112.656,83,162,225,135.942,54,292,208,118.986,57,230
269,32,107.719,76,172,225,136.827,56,336,208,118.096,59,242
270,32,111.344,82,160,225,135.391,58,313,208,117.365,62,222
271,32,111.875,78,168,225,135.676,52,330,208,117.630,53,213
272,32,108.000,69,170,225,135.436,60,295,208,116.361,62,224
273,32,110.438,78,172,225,135.924,55,320,208,117.678,57,228
274,32,108.281,77,158,225,136.027,57,288,208,117.957,64,239
275,32,107.438,71,179,225,134.316,63,302,208,116.053,61,229
276,32,110.688,71,166,225,135.898,59,299,208,116.654,55,228
277,32,107.094,67,152,225,135.316,58,317,208,117.562,58,242
278,32,112.062,80,176,225,133.769,56,315,208,116.125,62,240
279,32,107.094,77,161,225,133.951,57,294,208,116.889,59,239
280,32,107.281,84,179,225,134.302,49,306,208,116.048,65,233
281,32,107.875,79,154,225,133.524,57,290,208,115.500,62,218
282,32,107.844,72,151,225,133.156,57,294,208,116.024,58,227
283,32,107.344,74,154,225,135.107,59,312,208,116.812,53,229
284,32,111.406,77,163,225,135.778,49,312,208,116.591,57,219
285,32,107.188,74,159,225,135.356,58,320,208,116.048,62,239
286,32,105.750,73,160,225,132.964,54,298,208,116.611,57,210
287,32,107.344,72,160,225,134.924,61,317,208,116.822,62,229
288,32,107.469,84,152,225,133.960,52,331,208,117.269,56,224
289,32,109.438,86,156,225,133.498,57,305,208,115.817,57,223
290,32,108.906,83,146,225,135.880,58,299,208,117.462,59,235
291,32,108.812,78,157,225,134.782,57,291,208,117.490,61,227
292,32,107.750,79,150,225,134.911,58,320,208,117.120,58,225
293,32,107.844,73,153,225,133.978,55,294,208,118.111,61,224
294,32,104.031,75,154,225,134.653,61,311,208,115.668,58,226
295,32,109.656,74,153,225,135.507,58,323,208,115.933,57,235
296,32,107.969,81,161,225,134.849,61,328,208,116.111,62,233
297,32,107.750,70,145,225,134.800,55,321,208,116.827,57,237
298,32,107.781,80,156,225,134.773,63,332,208,116.611,64,229
299,32,110.375,73,174,225,133.587,52,320,208,115.611,64,223
300,32,106.531,76,144,225,134.902,55,314,208,115.904,64,213
301,32,109.062,76,160,225,134.151,58,306,208,114.524,62,238
302,32,104.562,68,154,225,134.493,52,310,208,116.505,56,232
303,32,109.188,73,159,225,133.796,61,312,208,116.500,54,226
304,32,109.156,72,158,225,134.836,59,320,208,116.471,62,230
305,32,109.188,72,148,225,134.618,52,287,208,116.293,65,265
306,32,109.156,77,168,225,134.129,57,310,208,116.096,63,239
307,32,107.938,73,144,225,134.969,56,293,208,116.500,63,235
308,32,109.906,87,169,225,134.356,58,316,208,116.337,63,237
309,32,110.719,77,150,225,133.773,61,312,208,116.447,64,238
310,32,107.406,72,166,225,132.573,58,313,208,117.365,60,235
311,32,104.500,71,157,225,133.129,57,303,208,116.769,63,248
312,32,109.031,83,160,225,133.276,53,317,208,116.538,65,240
313,32,108.500,72,162,225,133.178,55,298,208,115.793,64,226
314,32,107.188,77,159,225,134.693,55,290,208,118.673,65,244
315,32,106.500,74,150,225,138.062,57,326,208,124.942,64,249
316,32,107.531,77,157,225,137.969,60,314,208,125.837,67,247
