 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
83,1370,54.403,-8,452,32688,58.065,-14,661,9856,69.259,-9,608,9856,0.69259,-9,608
84,1370,55.262,-9,621,32688,58.112,-14,631,9856,67.43,-7,657,9856,0.6743,-7,657
85,1370,56.661,-16,542,32688,58.446,-14,735,9856,68.721,-8,576,9856,0.68721,-8,576
86,1370,53.288,-3,348,32688,57.915,-13,506,9856,68.953,-16,589,9856,0.68953,-16,589
87,1370,55.965,-2,558,32688,57.87,-11,560,9856,68.64,-7,512,9856,0.6864,-7,512
88,1370,56.466,-20,438,32688,58.353,-11,764,9856,68.846,-16,565,9856,0.68846,-16,565
89,1370,52.791,-9,369,32688,57.461,-26,684,9856,67.845,-21,630,9856,0.67845,-21,630
90,1370,53.355,-14,366,32688,58.056,-15,554,9856,68.577,-13,555,9856,0.68577,-13,555
91,1370,56.356,-14,400,32688,57.476,-13,628,9856,68.707,-23,543,9856,0.68707,-23,543
92,1370,57.252,-8,416,32688,57.766,-17,717,9856,68.079,-14,601,9856,0.68079,-14,601
93,1370,55.672,-16,464,32688,58.563,-18,605,9856,69.386,-19,552,9856,0.69386,-19,552
94,1370,54.123,-9,350,32688,57.909,-14,598,9856,68.55,-22,513,9856,0.6855,-22,513
95,1370,54.707,-6,515,32688,57.538,-17,636,9856,68.201,-23,617,9856,0.68201,-23,617
96,1370,52.886,-10,419,32688,57.357,-25,571,9856,68.37,-22,606,9856,0.6837,-22,606
97,1370,56.283,-7,406,32688,57.244,-20,568,9856,67.951,-25,614,9856,0.67951,-25,614
98,1370,55.426,0,431,32688,58.291,-19,537,9856,68.802,-29,620,9856,0.68802,-29,620
99,1370,54.093,-10,461,32688,57.519,-21,628,9856,69.225,-31,625,9856,0.69225,-31,625
100,1370,53.715,-15,354,32688,58.025,-20,746,9856,68.778,-16,524,9856,0.68778,-16,524
101,1370,53.756,-22,364,32688,58.055,-25,648,9856,68.9,-34,532,9856,0.689,-34,532
102,1370,54.409,-25,408,32688,58.328,-38,989,9856,69.18,-24,535,9856,0.6918,-24,535
103,1370,55.579,-6,377,32688,57.197,-24,575,9856,69.706,-27,547,9856,0.69706,-27,547
104,1370,53.311,-19,559,32688,57.602,-31,643,9856,68.239,-31,545,9856,0.68239,-31,545
105,1370,51.916,-21,306,32688,57.814,-28,716,9856,68.466,-19,493,9856,0.68466,-19,493
106,1370,53.853,-20,387,32688,58.186,-26,725,9856,66.372,-24,582,9856,0.66372,-24,582
107,1370,54.703,-19,527,32688,57.667,-29,606,9856,68.42,-27,517,9856,0.6842,-27,517
108,1370,55.293,-20,416,32688,58.195,-35,549,9856,69.165,-29,587,9856,0.69165,-29,587
109,1370,53.653,-22,398,32688,57.598,-30,658,9856,69.074,-39,563,9856,0.69074,-39,563
110,1370,54.072,-19,304,32688,57.801,-30,557,9856,67.91,-36,574,9856,0.6791,-36,574
111,1370,53.904,-11,511,32688,57.66,-33,517,9856,68.691,-25,588,9856,0.68691,-25,588
112,1370,52.837,-11,481,32688,57.748,-23,723,9856,69.535,-42,536,9856,0.69535,-42,536
113,1370,55.239,-12,307,32688,57.76,-39,543,9856,67.937,-31,559,9856,0.67937,-31,559
114,1370,55.122,-20,489,32688,57.841,-34,728,9856,68.487,-41,546,9856,0.68487,-41,546
115,1370,55.946,-19,349,32688,58.411,-33,666,9856,69.217,-34,517,9856,0.69217,-34,517
116,1370,54.945,-14,322,32688,58.152,-29,606,9856,70.051,-35,451,9856,0.70051,-35,451
117,1370,51.743,-12,401,32688,57.384,-33,525,9856,69.268,-54,565,9856,0.69268,-54,565
118,1370,54.088,-21,521,32688,58.149,-33,674,9856,68.574,-59,502,9856,0.68574,-59,502
119,1370,54.645,-16,419,32688,58.188,-37,716,9856,68.859,-35,557,9856,0.68859,-35,557
120,1370,52.576,-13,372,32688,57.893,-34,553,9856,68.981,-45,603,9856,0.68981,-45,603
121,1370,53.342,-9,402,32688,58.224,-43,493,9856,69.624,-30,746,9856,0.69624,-30,746
122,1370,53.046,-24,427,32688,57.702,-41,725,9856,69.875,-44,548,9856,0.69875,-44,548
123,1370,55.929,-31,418,32688,58.178,-29,520,9856,70.924,-50,505,9856,0.70924,-50,505
124,1370,52.343,-13,445,32688,57.654,-28,463,9856,69.22,-39,514,9856,0.6922,-39,514
125,1370,55.096,-24,475,32688,57.928,-38,658,9856,68.163,-54,426,9856,0.68163,-54,426
126,1370,56.007,-30,380,32688,57.483,-44,665,9856,68.158,-48,612,9856,0.68158,-48,612
127,1370,54.669,-9,421,32688,58.341,-60,540,9856,67.823,-48,458,9856,0.67823,-48,458
128,1370,56.009,-41,504,32688,57.667,-46,617,9856,68.825,-61,507,9856,0.68825,-61,507
129,1370,54.492,-19,492,32688,58.038,-51,540,9856,69.621,-45,558,9856,0.69621,-45,558
130,1370,55.032,-16,524,32688,57.91,-47,526,9856,69.447,-50,624,9856,0.69447,-50,624
131,1370,54.04,-19,305,32688,57.533,-49,471,9856,70.254,-42,453,9856,0.70254,-42,453
132,1370,52.996,-27,352,32688,58.01,-57,485,9856,69.448,-49,683,9856,0.69448,-49,683
133,1370,55.431,-23,342,32688,57.624,-38,552,9856,69.26,-50,489,9856,0.6926,-50,489
134,1370,54.093,-31,467,32688,58.098,-40,567,9856,68.575,-36,460,9856,0.68575,-36,460
135,1370,55.554,-22,337,32688,57.949,-49,523,9856,68.657,-48,591,9856,0.68657,-48,591
136,1370,56,-32,350,32688,58.066,-42,610,9856,70.266,-54,513,9856,0.70266,-54,513
137,1370,54.271,-17,506,32688,57.422,-44,490,9856,70.105,-35,537,9856,0.70105,-35,537
138,1370,53.761,-20,397,32688,57.769,-44,568,9856,68.618,-34,463,9856,0.68618,-34,463
139,1370,54.4,-20,405,32688,58.603,-41,661,9856,69.003,-39,474,9856,0.69003,-39,474
140,1370,55.004,-21,333,32688,57.818,-47,561,9856,69.562,-50,554,9856,0.69562,-50,554
141,1370,53.878,-17,346,32688,57.992,-51,555,9856,69.65,-42,506,9856,0.6965,-42,506
142,1370,52.49,-19,360,32688,58.026,-72,574,9856,68.701,-48,487,9856,0.68701,-48,487
143,1370,54.593,-15,268,32688,57.214,-53,474,9856,70.121,-48,496,9856,0.70121,-48,496
144,1370,54.306,-23,318,32688,58.105,-53,556,9856,69.599,-46,642,9856,0.69599,-46,642
145,1370,55.607,-29,304,32688,57.908,-53,835,9856,69.154,-49,660,9856,0.69154,-49,660
146,1370,52.076,-20,346,32688,57.696,-40,596,9856,69.719,-38,529,9856,0.69719,-38,529
147,1370,52.762,-24,333,32688,57.566,-40,490,9856,69.799,-59,659,9856,0.69799,-59,659
148,1370,54.566,-31,412,32688,57.877,-65,571,9856,70.515,-50,534,9856,0.70515,-50,534
149,1370,56.238,-31,411,32688,58.412,-53,559,9856,70.029,-41,473,9856,0.70029,-41,473
150,1370,59.474,-42,360,32688,61.916,-68,559,9856,76.797,-53,578,9856,0.76797,-53,578
151,1370,59.881,-31,352,32688,63.016,-49,540,9856,77.486,-50,519,9856,0.77486,-50,519
152,1370,60.569,-49,396,32688,62.912,-52,525,9856,75.871,-53,521,9856,0.75871,-53,521
153,1370,58.147,-36,387,32688,62.181,-57,620,9856,75.43,-65,562,9856,0.7543,-65,562
154,1370,58.749,-43,464,32688,60.946,-64,462,9856,73.534,-48,562,9856,0.73534,-48,562
155,1370,56.391,-52,521,32688,60.563,-50,614,9856,72.759,-47,571,9856,0.72759,-47,571
156,1370,57.242,-22,376,32688,60.338,-59,656,9856,71.05,-61,545,9856,0.7105,-61,545
157,1370,55.661,-16,364,32688,59.75,-57,535,9856,68.678,-45,536,9856,0.68678,-45,536
